order_details_id,order_id,order_date,order_time,item_id,order_hour,order_month,day_of_week
1,1,2023-01-01,1900-01-01 11:38:36,109,11,January,Sunday
2,2,2023-01-01,1900-01-01 11:57:40,108,11,January,Sunday
3,2,2023-01-01,1900-01-01 11:57:40,124,11,January,Sunday
4,2,2023-01-01,1900-01-01 11:57:40,117,11,January,Sunday
5,2,2023-01-01,1900-01-01 11:57:40,129,11,January,Sunday
6,2,2023-01-01,1900-01-01 11:57:40,106,11,January,Sunday
7,3,2023-01-01,1900-01-01 12:12:28,117,12,January,Sunday
8,3,2023-01-01,1900-01-01 12:12:28,119,12,January,Sunday
9,4,2023-01-01,1900-01-01 12:16:31,117,12,January,Sunday
10,5,2023-01-01,1900-01-01 12:21:30,117,12,January,Sunday
11,6,2023-01-01,1900-01-01 12:29:36,101,12,January,Sunday
12,6,2023-01-01,1900-01-01 12:29:36,114,12,January,Sunday
13,7,2023-01-01,1900-01-01 12:50:37,123,12,January,Sunday
14,8,2023-01-01,1900-01-01 12:51:37,123,12,January,Sunday
15,9,2023-01-01,1900-01-01 12:52:01,108,12,January,Sunday
16,9,2023-01-01,1900-01-01 12:52:01,126,12,January,Sunday
17,9,2023-01-01,1900-01-01 12:52:01,110,12,January,Sunday
18,9,2023-01-01,1900-01-01 12:52:01,117,12,January,Sunday
19,9,2023-01-01,1900-01-01 12:52:01,117,12,January,Sunday
20,9,2023-01-01,1900-01-01 12:52:01,129,12,January,Sunday
21,9,2023-01-01,1900-01-01 12:52:01,122,12,January,Sunday
22,9,2023-01-01,1900-01-01 12:52:01,130,12,January,Sunday
23,9,2023-01-01,1900-01-01 12:52:01,132,12,January,Sunday
24,10,2023-01-01,1900-01-01 13:00:15,129,13,January,Sunday
25,10,2023-01-01,1900-01-01 13:00:15,105,13,January,Sunday
26,11,2023-01-01,1900-01-01 13:02:59,101,13,January,Sunday
27,11,2023-01-01,1900-01-01 13:02:59,102,13,January,Sunday
28,11,2023-01-01,1900-01-01 13:02:59,102,13,January,Sunday
29,11,2023-01-01,1900-01-01 13:02:59,113,13,January,Sunday
30,12,2023-01-01,1900-01-01 13:04:41,102,13,January,Sunday
31,12,2023-01-01,1900-01-01 13:04:41,102,13,January,Sunday
32,12,2023-01-01,1900-01-01 13:04:41,104,13,January,Sunday
33,12,2023-01-01,1900-01-01 13:04:41,117,13,January,Sunday
34,13,2023-01-01,1900-01-01 13:11:55,129,13,January,Sunday
35,14,2023-01-01,1900-01-01 13:14:19,114,13,January,Sunday
36,15,2023-01-01,1900-01-01 13:33:00,107,13,January,Sunday
37,15,2023-01-01,1900-01-01 13:33:00,124,13,January,Sunday
38,15,2023-01-01,1900-01-01 13:33:00,121,13,January,Sunday
39,15,2023-01-01,1900-01-01 13:33:00,114,13,January,Sunday
40,16,2023-01-01,1900-01-01 13:34:07,125,13,January,Sunday
41,16,2023-01-01,1900-01-01 13:34:07,111,13,January,Sunday
42,16,2023-01-01,1900-01-01 13:34:07,106,13,January,Sunday
43,17,2023-01-01,1900-01-01 13:53:00,101,13,January,Sunday
44,17,2023-01-01,1900-01-01 13:53:00,116,13,January,Sunday
45,17,2023-01-01,1900-01-01 13:53:00,124,13,January,Sunday
46,17,2023-01-01,1900-01-01 13:53:00,125,13,January,Sunday
47,17,2023-01-01,1900-01-01 13:53:00,117,13,January,Sunday
48,17,2023-01-01,1900-01-01 13:53:00,127,13,January,Sunday
49,17,2023-01-01,1900-01-01 13:53:00,128,13,January,Sunday
50,17,2023-01-01,1900-01-01 13:53:00,129,13,January,Sunday
51,17,2023-01-01,1900-01-01 13:53:00,118,13,January,Sunday
52,17,2023-01-01,1900-01-01 13:53:00,131,13,January,Sunday
53,18,2023-01-01,1900-01-01 13:57:08,111,13,January,Sunday
54,19,2023-01-01,1900-01-01 13:59:09,110,13,January,Sunday
55,19,2023-01-01,1900-01-01 13:59:09,120,13,January,Sunday
